index	name	u	p	V	G	H	L
	root	1.0	3.058	39.907	2. mathematics of computing; 4. human-centered computing; 1.1.1.1. sample complexity and generalization bounds; 1.1.1.2. boolean function learning; 1.1.1.3. unsupervised learning and clustering; 1.1.1.5. boosting; 1.1.1.6. bayesian analysis; 1.1.1.7. inductive inference; 1.1.1.8. online learning theory; 1.1.1.9. multi-agent learning; 1.1.1.10. models of learning; 1.1.1.11. query learning; 1.1.1.12. structured prediction; 1.1.1.14. active learning; 1.1.1.15. semi-supervised learning; 1.1.1.16. markov decision processes; 1.1.1.17. regret bounds; 1.1.1.4.1. support vector machines; 1.1.1.4.3. modelling; 1.1.1.13.1. sequential decision making; 1.1.1.13.3. apprenticeship learning; 1.1.1.13.4. multi-agent reinforcement learning; 1.1.2.1. data exchange; 1.1.2.3. data modeling; 1.1.2.4. database query languages; 1.1.2.5. database constraints theory; 1.1.2.6. database interoperability; 1.1.2.7. data structures and algorithms for data management; 1.1.2.8. database query processing and optimization; 1.1.2.9. data integration; 1.1.2.10. logic and databases; 1.1.2.11. theory of database privacy and security; 1.1.2.12.  inconsistent; 3.3. world wide web; 3.4. information retrieval; 3.5. internet of things; 3.1.2. data structures; 3.1.3. database management system engines; 3.1.4. query languages; 3.1.5. information integration; 3.1.1.1. relational database model; 3.1.1.2. entity relationship models; 3.1.1.3. graph-based database models; 3.1.1.4. physical data models; 3.1.1.5.1. semi-structured data; 3.1.1.5.2. data streams; 3.1.1.5.4. incomplete data; 3.1.1.5.5. temporal data; 3.1.1.5.6. uncertainty; 3.1.1.5.7. inconsistent data; 3.2.1.1. data cleaning; 3.2.1.2. collaborative filtering; 3.2.1.3. association rules; 3.2.1.4. clustering; 3.2.1.5. nearest-neighbor search; 3.2.1.6. data stream mining; 3.2.1.8. process mining; 3.2.1.11. text mining; 3.2.1.10. data mining tools; 3.2.1.9. sequence mining; 3.2.1.12. formal concept analysis; 3.2.1.7.1. graph partitioning; 3.2.1.7.2. frequent graph mining; 3.2.1.7.3. graph based conceptual clustering; 3.2.1.7.5. critical nodes detection; 5.1.1. natural language processing; 5.1.2. knowledge engineering; 5.1.3.1. computer vision problems; 5.1.3.2.2. shape representations; 5.1.3.2.3. appearance and texture representations; 5.1.3.2.4. hierarchical representations; 5.2.2. learning settings; 5.2.4. machine learning algorithms; 5.2.5. cross-validation; 5.2.6. deep learning; 5.2.1.1. supervised learning; 5.2.1.4. multi-task learning; 5.2.1.2.1. cluster analysis; 5.2.1.2.3. mixture modeling; 5.2.1.2.4. topic modeling; 5.2.1.2.5. source separation; 5.2.1.2.6. motif discovery; 5.2.1.2.7. dimensionality reduction and manifold learning; 5.2.3.1. classification and regression trees; 5.2.3.3. neural networks; 5.2.3.4. logical and relational learning; 5.2.3.5. learning in probabilistic graphical models; 5.2.3.6. learning linear models; 5.2.3.8. rule learning; 5.2.3.9. instance-based learning; 5.2.3.11. partially-observable markov decision processes; 5.2.3.12. stochastic games; 5.2.3.13. learning latent representations; 5.2.3.14. multiresolution; 5.2.3.2.1. kernel support vector machines; 5.2.3.2.3. kernel matrix; 5.2.3.2.4. kernel independent components; 5.2.3.2.5. kernel-based clustering; 5.2.3.7.1. non-negative matrix factorization; 5.2.3.7.2. factor analysis; 5.2.3.7.4. canonical correlation analysis; 5.2.3.7.6. latent dirichlet allocation; 5.2.3.7.8. independent component analysis; 5.2.3.7.9. nonlinear principal components; 5.2.3.7.10. multidimentional scaling; 5.2.3.7.3.2. sparse pca	1.1.1.4.2. gaussian processes; 1.1.1.13.2. inverse reinforcement learning; 1.1.1.13.5. adversarial learning; 1.1.2.2. data provenance; 3.1.1.5.3. data provenance; 3.2.1.7.4. anomaly detection; 5.1.3.2.1. image representations; 5.2.1.2.2. anomaly detection; 5.2.1.3.2. inverse reinforcement learning; 5.2.1.3.5. adversarial learning; 5.2.3.2.2. gaussian processes; 5.2.3.7.3.1. 2d pca	
1	theory of computation	0.541	0.955	11.564	1.1.1.1. sample complexity and generalization bounds; 1.1.1.2. boolean function learning; 1.1.1.3. unsupervised learning and clustering; 1.1.1.5. boosting; 1.1.1.6. bayesian analysis; 1.1.1.7. inductive inference; 1.1.1.8. online learning theory; 1.1.1.9. multi-agent learning; 1.1.1.10. models of learning; 1.1.1.11. query learning; 1.1.1.12. structured prediction; 1.1.1.14. active learning; 1.1.1.15. semi-supervised learning; 1.1.1.16. markov decision processes; 1.1.1.17. regret bounds; 1.1.1.4.1. support vector machines; 1.1.1.4.3. modelling; 1.1.1.13.1. sequential decision making; 1.1.1.13.3. apprenticeship learning; 1.1.1.13.4. multi-agent reinforcement learning; 1.1.2.1. data exchange; 1.1.2.3. data modeling; 1.1.2.4. database query languages; 1.1.2.5. database constraints theory; 1.1.2.6. database interoperability; 1.1.2.7. data structures and algorithms for data management; 1.1.2.8. database query processing and optimization; 1.1.2.9. data integration; 1.1.2.10. logic and databases; 1.1.2.11. theory of database privacy and security; 1.1.2.12.  inconsistent	1.1.1.4.2. gaussian processes; 1.1.1.13.2. inverse reinforcement learning; 1.1.1.13.5. adversarial learning; 1.1.2.2. data provenance	
1.1.1	machine learning theory	0.42	0.648	7.81	1.1.1.1. sample complexity and generalization bounds; 1.1.1.2. boolean function learning; 1.1.1.3. unsupervised learning and clustering; 1.1.1.5. boosting; 1.1.1.6. bayesian analysis; 1.1.1.7. inductive inference; 1.1.1.8. online learning theory; 1.1.1.9. multi-agent learning; 1.1.1.10. models of learning; 1.1.1.11. query learning; 1.1.1.12. structured prediction; 1.1.1.14. active learning; 1.1.1.15. semi-supervised learning; 1.1.1.16. markov decision processes; 1.1.1.17. regret bounds; 1.1.1.4.1. support vector machines; 1.1.1.4.3. modelling; 1.1.1.13.1. sequential decision making; 1.1.1.13.3. apprenticeship learning; 1.1.1.13.4. multi-agent reinforcement learning	1.1.1.4.2. gaussian processes; 1.1.1.13.2. inverse reinforcement learning; 1.1.1.13.5. adversarial learning	
1.1.1.1	sample complexity and generalization bounds	0.0	0	0			
1.1.1.10	models of learning	0.0	0	0			
1.1.1.11	query learning	0.0	0	0			
1.1.1.12	structured prediction	0.0	0	0			
1.1.1.13	reinforcement learning	0.32	0.403	0.961	1.1.1.13.1. sequential decision making; 1.1.1.13.3. apprenticeship learning; 1.1.1.13.4. multi-agent reinforcement learning	1.1.1.13.2. inverse reinforcement learning; 1.1.1.13.5. adversarial learning	
1.1.1.13.1	sequential decision making	0.0	0	0			
1.1.1.13.2	inverse reinforcement learning	0.258	0.233	0		1.1.1.13.2. inverse reinforcement learning	
1.1.1.13.3	apprenticeship learning	0.0	0	0			
1.1.1.13.4	multi-agent reinforcement learning	0.0	0	0			
1.1.1.13.5	adversarial learning	0.189	0.17	0		1.1.1.13.5. adversarial learning	
1.1.1.14	active learning	0.0	0	0			
1.1.1.15	semi-supervised learning	0.0	0	0			
1.1.1.16	markov decision processes	0.0	0	0			
1.1.1.17	regret bounds	0.0	0	0			
1.1.1.2	boolean function learning	0.0	0	0			
1.1.1.3	unsupervised learning and clustering	0.0	0	0			
1.1.1.4	kernel methods	0.272	0.245	0.544	1.1.1.4.1. support vector machines; 1.1.1.4.3. modelling	1.1.1.4.2. gaussian processes	
